# Firstseen,Domain,category,score
2020-10-31,youdoyoudoyoudoyoudo.xyz,social engineering,1.0
2020-10-31,yougaiyougaiyougaiyougai.xyz,social engineering,0.9994
2020-10-31,yougayougayougayouga.xyz,social engineering,0.9999
2020-10-31,yougyoyougyoyougyoyougyo.xyz,social engineering,0.9992
2020-10-31,youmouyoumouyoumouyoumou.xyz,social engineering,1.0
2020-10-31,youreiyoureiyoureiyourei.xyz,social engineering,1.0
2020-10-31,yourouyourouyourouyourou.xyz,social engineering,1.0
2020-10-31,youroyouroyouroyouro.xyz,social engineering,1.0
2020-10-31,yoursavingscareabout.xyz,social engineering,1.0
2020-10-31,yourself4gifts.xyz,social engineering,0.8026
2020-10-31,yousyoyousyoyousyoyousyo.xyz,social engineering,1.0
2020-10-31,youtenyoutenyoutenyouten.xyz,social engineering,1.0
2020-10-31,yowamaruyowamaruyowamaruyowamaru.xyz,social engineering,1.0
2020-10-31,yowameruyowameruyowameruyowameru.xyz,social engineering,1.0
2020-10-31,yowamushiyowamushiyowamushiyowamushi.xyz,social engineering,1.0
2020-10-31,yowaruyowaruyowaruyowaru.xyz,social engineering,0.98
2020-10-31,yuudatiyuudatiyuudatiyuudati.xyz,social engineering,1.0
2020-10-31,yuugaiyuugaiyuugaiyuugai.xyz,social engineering,0.9897
2020-10-31,yuugaoyuugaoyuugaoyuugao.xyz,social engineering,0.9972
2020-10-31,yuugatayuugatayuugatayuugata.xyz,social engineering,1.0
2020-10-31,yuwaeruyuwaeruyuwaeruyuwaeru.xyz,social engineering,0.9382
2020-11-01,consultingservicesrdabogado.xyz,social engineering,0.9206
2020-11-01,onlinepayee-securedaccount.link,social engineering,0.9984
2020-11-01,resourceseducateconnection.link,social engineering,0.9995
2020-11-01,thefountainofyouth.xyz,social engineering,0.9998
2020-11-02,abuycheapenglishessayonlinesv.xyz,social engineering,0.9368
2020-11-02,feedyourbrain.xyz,social engineering,0.9999
2020-11-02,getmycreditupgrade.xyz,social engineering,1.0
2020-11-02,goworkforcemanagementsoftware.xyz,social engineering,1.0
2020-11-02,silhouettesofthedesert.site,social engineering,0.9984
2020-11-02,thebestrewardsforyou.fun,social engineering,1.0
2020-11-02,thescalemodelcontest.site,social engineering,0.9993
2020-11-02,theultimatesource.online,social engineering,1.0
2020-11-02,woconglaimeiyoutanguolianai.xyz,social engineering,0.9999
2020-11-02,yourdailyoutfit.xyz,social engineering,0.9999
2020-11-03,donationslenawfoundation.online,social engineering,0.9913
2020-11-03,electricalupdates.online,social engineering,1.0
2020-11-03,gadgetupdates.online,social engineering,0.9983
2020-11-03,goodupdate.xyz,social engineering,1.0
2020-11-03,letsagegracefullylivelifetothefullest.online,social engineering,0.9988
2020-11-03,mbway-update.online,social engineering,1.0
2020-11-03,newbridgeintegrated.online,social engineering,0.9962
2020-11-03,onlinetrainingandcourses.online,social engineering,0.9236
2020-11-03,partyserviceoudewater.online,social engineering,1.0
2020-11-03,pleaseseeyouamazonjp.xyz,social engineering,1.0
2020-11-03,pleaseseeyouamazonjpmail.xyz,social engineering,1.0
2020-11-03,smallcircleofamourousfriends.site,social engineering,0.9966
2020-11-03,thesafetyband.online,social engineering,0.9895
2020-11-04,boardagendatemplatenonprofit.xyz,social engineering,1.0
2020-11-04,greatsalesforcarsnow.xyz,social engineering,0.9999
2020-11-04,prepare2upvideosafesystem4setnow.site,social engineering,1.0
2020-11-04,probaltamappuntamento.fun,social engineering,0.9951
2020-11-04,stageconduitevoituredesport.xyz,social engineering,1.0
2020-11-04,thefishandmeatloverwine.xyz,social engineering,1.0
2020-11-05,expertise66985.xyz,social engineering,0.9993
2020-11-05,forsalecollonnadesnow.online,social engineering,1.0
2020-11-05,howofficesetup.online,social engineering,0.9975
2020-11-05,thecreamystoreofdiamonddreams.fun,social engineering,0.9996
2020-11-05,theupdateamzoncardmail.xyz,social engineering,1.0
2020-11-05,yourbestfertility.online,social engineering,1.0
2020-11-05,yourbusinessgrowthconsultant.online,social engineering,0.9998
2020-11-05,yourgatewaytoeverythingspiritual.online,social engineering,0.9999
2020-11-06,asociaciondedocentesyegresadosecp-usac.online,social engineering,0.9989
2020-11-06,globalupdatez.xyz,social engineering,0.9999
2020-11-06,hvacaircirculatingfansfox.xyz,social engineering,1.0
2020-11-06,installatietotaalservice.online,social engineering,0.9607
2020-11-06,installmysetup.online,social engineering,1.0
2020-11-07,agoagriculturalmachineryparts.xyz,social engineering,1.0
2020-11-07,epeacekeeperswithoutborders.online,social engineering,1.0
2020-11-07,everydayrateupdate.xyz,social engineering,1.0
2020-11-07,findyourfunds.online,social engineering,0.989
2020-11-07,frs-pplrescuesecureplateforme.xyz,social engineering,1.0
2020-11-07,nationalnewsupdate.site,social engineering,1.0
2020-11-07,realestatecollonnadessalesnow.online,social engineering,0.9922
2020-11-07,reminderaccountupdateserviceremindersupport.online,social engineering,1.0
2020-11-07,tratamientosnaturaldepeso.xyz,social engineering,0.8733
2020-11-07,twentytrustedcontacts.online,social engineering,0.9969
2020-11-08,50voyagerstravelandadventureclub.online,social engineering,1.0
2020-11-08,attestendorsedinfant.fun,social engineering,0.9986
2020-11-08,badaowangyeqiaowangfei.xyz,social engineering,0.9437
2020-11-08,epeacekeeperswithoutborders.tech,social engineering,1.0
2020-11-08,everydayrateupdate.site,social engineering,1.0
2020-11-08,findyourguide.online,social engineering,0.821
2020-11-08,grooveglowingwillpower.site,social engineering,0.973
2020-11-08,hasaptbeenrootedyet.xyz,social engineering,0.9897
2020-11-08,krystofferconradsantos.xyz,social engineering,0.9997
2020-11-08,reminderaccountupdateserviceremindersupport.site,social engineering,1.0
2020-11-08,starlovelylieutenant.site,social engineering,0.9913
2020-11-08,thetechyupdates.tech,social engineering,1.0
2020-11-09,amazon-account-update.site,social engineering,1.0
2020-11-09,emeniyecenesescendenes.site,social engineering,0.9988
2020-11-09,hvacaircirculatingfansuta.xyz,social engineering,0.9902
2020-11-09,instagram-instagram-instagram-instagram.site,social engineering,1.0
2020-11-10,atvfuelsystempartsbow.xyz,social engineering,1.0
2020-11-10,bearcreekoutdoorcentreltd.xyz,social engineering,1.0
2020-11-10,definitelynotadeveloper.tech,social engineering,0.9832
2020-11-10,drakoupgrade.xyz,social engineering,0.9975
2020-11-10,erp-allinventorymanagement.online,social engineering,0.9917
2020-11-10,findyourfridge.online,social engineering,0.9958
2020-11-10,findyourway96.online,social engineering,0.9175
2020-11-10,freightforwardingsolutions.online,social engineering,0.9979
2020-11-10,oudersenonderwijstwente.online,social engineering,0.977
2020-11-10,pageperfectstudio.tech,social engineering,0.9997
2020-11-10,pavethewayentertainment.online,social engineering,0.9897
2020-11-10,pelatihanoperatorpesawatangkatangkut.online,social engineering,1.0
2020-11-10,theramazoncardupdate.xyz,social engineering,1.0
2020-11-10,verenigingoudfranciscanen.online,social engineering,0.9971
2020-11-10,whatyouneedtoday.link,social engineering,0.997
2020-11-11,1healthintegratedservices.online,social engineering,1.0
2020-11-11,cardupdatemaiamazon.xyz,social engineering,0.9963
2020-11-11,departamentoenventasantafe.online,social engineering,0.9999
